Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
64,Rusty Hilger,RAI,23,qb,4,0,,4,13,30.8,54,1,7.7,0,0,29,4.2,5.7,13.5,13.5,70.7,3,32,18.8,1.38,2.63,,
65,Steve Pelluer,DAL,23,qb,2,0,,5,8,62.5,47,0,0,0,0,28,5.9,5.9,9.4,23.5,78.6,0,0,0,5.88,5.88,,
66,Tony Hill*,DAL,29,WR,15,14,,1,1,100,42,0,0,0,0,42,42,42,42,2.8,118.7,0,0,0,42,42,,
67,Herman Hunter,PHI,24,rb,16,4,,1,2,50,38,1,50,0,0,38,19,29,38,2.4,135.4,1,11,33.3,9,15.67,,
68,Brian Brennan,CLE,23,WR,12,10,,1,1,100,33,1,100,0,0,33,33,53,33,2.8,158.3,0,0,0,33,53,,
69,Mike Tomczak,CHI,23,qb,6,0,,2,6,33.3,33,0,0,0,0,24,5.5,5.5,16.5,5.5,52.8,0,0,0,5.5,5.5,,
70,Stump Mitchell,STL,26,rb,16,8,,1,2,50,31,0,0,0,0,31,15.5,15.5,31,1.9,95.8,0,0,0,15.5,15.5,,
71,Frank Reich,BUF,24,qb,1,0,,1,1,100,19,0,0,0,0,19,19,19,19,19,118.7,0,0,0,19,19,,
72,Marcus Allen*+,RAI,25,RB,16,16,,1,2,50,16,0,0,0,0,16,8,8,16,1,77.1,0,0,0,8,8,,
73,Craig James*,NWE,24,FB,16,14,,2,2,100,16,2,100,0,0,11,8,28,8,1,139.6,0,0,0,8,28,,
74,James Jones,DAL,27,rb,16,2,,1,2,50,12,1,50,1,50,12,6,-6.5,12,0.8,68.7,0,0,0,6,-6.5,,
75,Steve Cox,WAS,27,p,12,0,,1,1,100,11,0,0,0,0,11,11,11,11,0.9,112.5,0,0,0,11,11,,
76,James Brooks,CIN,27,RB,16,16,,1,1,100,8,1,100,0,0,8,8,28,8,0.5,139.6,0,0,0,8,28,,
77,Brian Hansen,NOR,25,p,16,0,,1,1,100,8,0,0,0,0,8,8,8,8,0.5,100,0,0,0,8,8,,
78,Guido Merkens,NOR,30,wr,16,0,,1,1,100,7,1,100,0,0,7,7,27,7,0.4,135.4,1,10,50,-1.5,8.5,,
79,Albert Bentley,IND,25,rb,15,1,,1,1,100,6,0,0,0,0,6,6,6,6,0.4,91.7,0,0,0,6,6,,
80,Steve Bono,MIN,23,qb,1,0,,1,10,10,5,0,0,0,0,5,0.5,0.5,5,5,39.6,2,13,16.7,-0.67,-0.67,,
81,Maury Buford,CHI,25,p,16,0,,1,1,100,5,0,0,0,0,5,5,5,5,0.3,87.5,0,0,0,5,5,,
82,Steve Kreider,CIN,27,wr,16,0,,1,1,100,1,0,0,0,0,1,1,1,1,0.1,79.2,0,0,0,1,1,,
83,George Adams,NYG,23,rb,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
84,Greg Bell,BUF,23,FB/rb,16,15,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
85,Carl Birdsong,STL,26,p,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
86,Cris Collinsworth,CIN,26,WR,16,16,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,0,-45,,
87,Gerry Ellis,GNB,28,rb,16,8,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
88,Dave Finzer,SEA,26,p,12,0,,0,1,0,0,0,0,1,100,0,0,-45,,0,0,0,0,0,0,-45,,
89,Herman Fontenot,CLE,22,rb,9,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
90,Jeff Gossett,CLE,28,p,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
91,Derrick Harmon,SFO,22,rb,15,3,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
92,Pete Holohan,SDG,26,te,15,3,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,1,8,50,-4,-4,,
93,Ethan Horton,KAN,23,rb,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
94,Eddie Lee Ivery,GNB,28,RB,15,10,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,1,7,50,-3.5,-3.5,,
95,Vance Johnson,DEN,22,wr,16,7,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
96,James Jones,DET,24,FB,14,13,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
97,Sean Landeta,NYG,23,p,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
98,Steve Largent*+,SEA,31,WR,16,16,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
99,Pat McInally,CIN,32,p,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
100,Alvin Moore,DET,26,rb,16,5,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
101,Randall Morris,SEA,24,rb,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
102,Chris Norman,DEN,23,p,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
103,John Riggins,WAS,36,RB,12,11,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
104,Steve Sewell,DEN,22,rb,16,2,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
105,Freddie Solomon,SFO,32,WR,16,12,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
106,Rohn Stark*,IND,26,p,16,0,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
107,Gerald Willhite,DEN,26,rb,15,4,,0,3,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
108,Sammy Winder,DEN,26,RB,14,12,,0,1,0,0,0,0,0,0,0,0,0,,0,39.6,0,0,0,0,0,,
109,Tony Zendejas,HOU,25,k,14,0,,1,1,100,-7,0,0,0,0,-7,-7,-7,-7,-0.5,79.2,0,0,0,-7,-7,,
