,,,,,Games,,Rushing,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
247,Jessie Hester,RAI,22,WR,16,16,1,13,1,13,13,0.8,0
248,Tony Hill*,DAL,29,WR,15,14,1,-6,0,-6,-6,-0.4,2
249,Mike Horan,PHI,26,p,16,0,1,12,0,12,12,0.8,0
250,Bobby Humphery,NYJ,24,wr,12,0,1,10,0,10,10,0.8,2
251,Lee Johnson,HOU,24,p,16,0,1,0,0,0,0,0,2
252,A.J. Jones,2TM,26,,9,0,1,2,0,2,2,0.2,0
253,James Jones,DAL,27,rb,16,2,1,0,0,0,0,0,0
254,Gary Kubiak,DEN,24,qb,16,0,1,6,0,6,6,0.4,0
255,Leo Lewis,MIN,29,WR,10,10,1,2,0,2,2,0.2,1
256,Randy Love,STL,29,rb,12,0,1,4,0,4,4,0.3,0
257,Ken Margerum,CHI,27,wr,16,2,1,-7,0,-7,-7,-0.4,1
258,Robbie Martin,IND,27,wr,16,5,1,23,0,23,23,1.4,5
259,Pat McInally,CIN,32,p,16,0,1,-2,0,-2,-2,-0.1,0
260,Dennis McKinnon,CHI,24,WR,14,13,1,0,0,0,0,0,1
261,Guido Merkens,NOR,30,wr,16,0,1,-2,0,-2,-2,-0.1,0
262,Ralf Mojsiejenko,SDG,22,p,16,0,1,0,0,0,0,0,1
263,Nat Moore,MIA,34,wr,15,7,1,11,0,11,11,0.7,0
264,Stanley Morgan,NWE,30,WR,15,13,1,0,0,0,0,0,1
265,Mark Nichols,DET,26,WR,14,12,1,15,0,15,15,1.1,1
266,Chris Norman,DEN,23,p,16,0,1,0,0,0,0,0,1
267,Hubie Oliver,PHI,28,rb,1,0,1,3,0,3,3,3,0
268,Stephone Paige,KAN,24,wr,16,8,1,15,0,15,15,0.9,0
269,Guy Prather,GNB,27,lb,16,1,1,0,0,0,0,0,1
270,Tom Pridemore,ATL,29,fs,16,5,1,48,0,48,48,3,0
271,Alan Risher,TAM,24,qb,16,0,1,10,0,10,10,0.6,0
272,Lee Rouson,NYG,23,rb,2,0,1,1,0,1,1,0.5,0
273,Bruce Smith,BUF,22,RDE,16,13,1,0,0,0,0,0,0
274,Kurt Sohn,NYJ,28,wr,15,7,1,12,0,12,12,0.8,0
275,Al Toon,NYJ,22,WR,15,8,1,5,0,5,5,0.3,0
276,Don Warren,WAS,29,TE,16,16,1,5,0,5,5,0.3,0
277,Clarence Weathers,CLE,23,WR,13,7,1,18,0,18,18,1.4,3
278,Ed West,GNB,24,te,16,0,1,0,0,0,0,0,1
279,Ken Whisenhunt,ATL,23,te,16,0,1,3,0,3,3,0.2,0
